carry-on	বহন অন
outer space	মহাকাশের
outermost	দূরতম
outer	বাহ্য
outdoors	উন্মুক্ত স্থানে
outdoor	বহিরঙ্গন
outdone	অতিক্রান্ত
outdo	অতিক্রম করা
outdistance	বহুদূরে অতিক্রম করে যাওয়া
outdid	outdid
outdated	সেকেলে
outcry	হৈচৈ
outcropping	outcropping
outcome	ফলাফল
outclass	শতগুণে
outcast	নির্বাসিত
outburst	বিস্ফোরণ
outbreak	প্রাদুর্ভাব
outboard motor	জাহাজের বা নৌকোর বাইরের মোটর
outbid	অতিরঞ্জন
outback	আউটব্যাক
outage	বিভ্রাট
out	আউট
ouster	বেদখল
oust	উচ্ছেদ করা
ourselves	নিজেদের
ours	আমাদিগের
our	আমাদের
ounce	আউন্স
ought to	কর্তব্য
ouch	সেকি
otter	উদ
otherwise	অন্যভাবে
other	অন্যান্য
ostrich	উটপাখী
ostracize	নির্বাসিত করা
ostracism	সমাজ হইতে বহিষ্কার
ostentatiously	দম্ভপূর্ণভাবে
ostentatious	ভানপূর্ণ
ostentation	জাঁকজমক
Oscar	অস্কার
orthopedics	অস্থিচিকিত্সাবিদ
orthodoxy	গোঁড়ামি
orthodox	গোঁড়া
orthodontist	অর্থডন্টিষ্ট
orthodontics	Orthodontics
orphanage	অনাথাশ্রম
orphan	অনাথ
ornithology	পক্ষিবিজ্ঞান
ornithologist	পক্ষিবিজ্ঞানী
ornately	ornately
ornate	সুসজ্জিত
ornamental	শোভাময় করে এমন
ornament	অলঙ্কার
oriole	Oriole
originate	উত্পন্ন করা
originally	মূলত
originality	মৌলিকত্ব
original	মূল
origin	উত্স
oriented	ওরিয়েন্টেড
orientation	ঝোঁক
oriental	পূর্বদেশীয়
Oriental	প্রাচ্য
orient	প্রাচী
Orient	পূর্বদিক্
orgy	বেলেল্লাপনা
orgasm	অত্যধিক উত্তেজনা
organizer	প্রবর্তক
organized	সংগঠিত
organize	সংগঠিত করা
organizational	সাংগঠনিক
organization	সংগঠন
organist	অর্গানবাদক
organism	জীব
organically	সংগঠিত
organic	জৈব
organ	অঙ্গ
ore	আকরিক
ordination	অর্ডিনেশন
ordinary	সাধারণ
ordinarily	সাধারণত
ordinance	অধ্যাদেশ
ordinal	পূরণবাচক
orderly	সুশৃঙ্খল
order	ক্রম
ordeal	কঠোর পরীক্ষা
ordain	সাজাইয়া রাখা
orchid	রাস্না
orchestration	অর্কেস্ট্রারচনা
orchestrate	সুষ্ঠুভাবে সমন্বিত
orchestral	অর্কেস্ট্রার জন্য
orchestra	বাদকদল
orchard	ফলের বাগান
orbital	কাক্ষিক
orbit	গ্রহের কক্ষ
oratory	বাগ্মিতা
orator	বাগ্মী
oration	ভাষণ
orangutan	ত্তরানগ্ুটাং
orange	কমলা
orally	মুখে মুখে
oral	মৌখিক
or	বা
OR	বা
opulent	ঐশ্বর্যশালী
opulence	সমৃদ্ধি
optometry	optometry
optometrist	অপ্টোমেট্রিস্ট
optional	ঐচ্ছিক
option	পছন্দ
optimum	সর্বোত্তম
optimistically	আশাবাদী
optimistic	আশাবাদী
optimist	আশাবাদী
optimism	আশাবাদ
optician	দর্শনযন্ত্র্রবিক্রেতা
optical illusion	দৃষ্টিবিভ্রম
optical	অপটিক্যাল
optic	দৃষ্টিসংক্রান্ত
opt	মনোনীত করা
oppressor	অত্যাচারী
oppressive	অত্যাচারী
oppression	নিপীড়ন
oppressed	নিপীড়িত
oppress	জুলুম করা
opposition	বিরোধী দল
opposite	বিপরীত
opposed	বিরোধী
oppose	বিরোধিতা
opportunity	সুযোগ
opportunistic	opportunistic
opportunist	সুবিধাবাদী
opportunism	সুবিধাবাদ
opportune	সুবিধাজনক
opponent	বিপক্ষ
opossum	আমেরিকার একজাতীয় বৃক্ষবাসী স্তন্যপায়ী
opium	আফিম
opinion poll	বিশেষজ্ঞের পরামর্শ
opinionated	জেদী
opinion	অভিমত
ophthalmology	অপথ্যালমোলজি
ophthalmologist	চক্ষুরোগের চিকিত্সক
operator	অপারেটর
operative	সক্রিয়
operationally	তৎপরতা চালাচ্ছে
operational	সক্রিয়
operation	অপারেশন
operating system	অপারেটিং সিস্টেম
operating room	অপারেটিং রুম
operatic	অপের্রাসঙক্রান্ত
operate	অস্ত্রোপচার করা
opera house	কলাভবন
operable	প্রচলিত
opera	অপেরা
open season	খোলা ঋতু
openness	অকপটতা
open-minded	সংস্কারমুক্ত
openly	খোলাখুলি
opening	উদ্বোধন
open house	খোলা ঘর
opener	ওপেনার
open-ended	- খোলা শেষ
open-air	খোলা
open	খোলা
opaque	অস্বচ্ছ
opal	উপল
ooze	ক্ষরান
oops	ওহো
oodles	অতিপ্রাচুর্য
onwards	অগ্রে
onward	অগ্রগামী
onus	ভার
onto	সম্মুখের দিকে
onslaught	আক্রমণ
onset	সূত্রপাত
onrush	আমদানি
on-ramp	অন ​​ঢালু
only child	একমাত্র সন্তান
only	শুধুমাত্র
onlooker	দ্রষ্টা
on-line	অন ​​লাইন
onion	পেঁয়াজ
ongoing	নিরন্তর
one-way	একমুখো
one-upmanship	এক upmanship
one-track mind	এক - ট্র্যাক মন
one-to-one	এক টু এক
onetime	একটিবারের
one-sided	একতরফা
oneself	নিজের
onerous	গুরুভার
one-on-one	এক অন এক
one-night stand	এক - রাতে স্ট্যান্ড
one	এক
oncoming	আসন্ন
once-over	একবার - ওভার
once	একবার
on	উপর
omniscient	সর্বজ্ঞ
omniscience	সর্বজ্ঞতা
omnipotence	সর্বশক্তিমত্তা
omit	বর্জন করা
omission	ভ্রান্তি
ominously	আশঙ্কাজনকভাবে
ominous	অশুভ
omen	লক্ষণ
omelet	অমলেট
ombudsman	ন্যায়পাল
Olympics	অলিম্পিক
Olympic Games	অলিম্পিক গেমস
Olympic	অলিম্পিক
olive oil	অলিভ ওয়েল
olive	জলপাই
Old World	ওল্ড ফোটোস
old-timer	পুরাতন বাসিন্দা
Old Testament	ওল্ড টেস্টামেন্ট
oldie	পুরোনো জিনিস
old-fashioned	সেকেলে
olden	সেকেলে
old age	বার্ধক্য
old	পুরাতন
okra	ঢেঁড়শ
okay	ঠিক আছে
OK	ঠিক আছে
ointment	মলম
oink	Oink
oily	তৈলাক্ত
oil well	তেল ভাল
oil slick	তেল পিচ্ছিল
oils	তেল রং
oil painting	তৈল চিত্র
oilfield	তৈলক্ষেত্র
oiled	চুর
oil	তেল
oh well	ওহ ভাল
ohm	ওম
oh	উহু
ogre	রাক্ষস
ogle	কটাক্ষ করা
often	প্রায়ই
off-white	অফ হোয়াইট
off-the-wall	বন্ধ প্রাচীর
off-the-record	বন্ধ - - রেকর্ড
offstage	offstage
offspring	সন্তানসন্ততি
offshore	সমুদ্রতীরাতিক্রান্ত
offshoot	প্রশাখা
offset	অফসেট
off-ramp	বন্ধ - ঢালু
off-peak	বন্ধ - শিখর
off-limits	বন্ধ - সীমা
off-key	বেসুরো
offing	ঘনায়মান
officious	উপযাচক
officiate	স্থানাপন্ন হত্তয়া
officially	সরকারী ভাবে
official	সরকারী
officer	অফিসার
office	অফিস
offhand	না ভাবিয়া চিন্তিয়া
offering	নৈবেদ্য
offer	প্রদান
offensively	আক্রমণাত্মক
offensive	আক্রমণাত্মক
offense	অপরাধ
offender	অপরাধী
offend	চটান
off-color	ফেকাসে
offbeat	offbeat
off	বন্ধ
of	এর
odor	গন্ধ
odyssey	Odyssey
odometer	দূরত্বমাপণী
odious	ঘৃণ্য
ode	গাথা
odds and ends	টুকিটাকি
odds	মতভেদ
oddness	oddness
oddly	বেশ ভাল
odd jobs	ওটা কাজ
oddity	ছিট
odd	অদ্ভুত
OD	আদ্যাশক্তি
octopus	অক্টোপাস
octopi	octopi
October	অক্টোবর
octave	অষ্টক
octagonal	অষ্টকোণী
octagon	অষ্টভুজ
Oct.	অক্টোবর
o'clock	ঘটিকায়
oceanography	সমুদ্রবিজ্ঞান
oceanic	মহাসাগরীয়
ocean	মহাসাগর
occurrence	ঘটা
occur	ঘটা
occupy	দখলে রাখা
occupied	অধিকৃত
occupational	বৃত্তিমূলক
occupation	বৃত্তি
occupant	দখলকারী
occupancy	দখল
occult	গুহ্য
occasionally	মাঝে মাঝে
occasional	অনিয়মিত
occasion	উপলক্ষ
obviously	স্পষ্টত
obvious	সুস্পষ্ট
obtuse	অসাড়
obtrusive	জেদী
obtainable	গম্য
obtain	প্রাপ্ত
obstructive	বাধক
obstruction	বাঁধন
obstruct	রোধ করা
obstinately	obstinately
obstinate	একগুঁয়ে
obstinacy	গোঁ
obstetrics	ধাত্রীবিদ্যা
obstetrician	ধাত্রী
obstacle	বাধা
obsolete	অপ্রচলিত
obsolescence	পুরান হত্তয়া
obsessively	obsessively
obsessive	অত্যধিক
obsession	আবেশ
obsessed	অন্ধকারাচ্ছন্ন
obsess	প্রভাবিত করা
observer	পর্যবেক্ষক
observe	পালন করা
observatory	মানমন্দির
observation	পর্যবেক্ষণ
observant	পর্যবেক্ষণশীল
observance	রীতি
observable	লক্ষণীয়
obscurity	দুর্বোধ্যতা
obscure	অখ্যাত
obscenity	অশ্লীলতা
obscene	অশ্লীল
oboe	অবি
obnoxiously	আপত্তিকরভাবে
obnoxious	আপত্তিকর
oblong	আয়তাকার
oblivious	অন্যমনস্ক
oblivion	বিস্মৃতি
obliteration	ক্ষিতি
obliterate	ধ্বংস করা
oblique	তেরছা
obligingly	বিনীতভাবে
obliging	ভদ্র
obliged	কৃতজ্ঞ
oblige	বাধ্য করা
obligatory	বাধ্যতামূলক
obligation	দায়িত্ব
obligated	দায়িত্ব
obligate	আবশ্যকীয়
objector	আপত্তিকারী
objectivity	নৈর্ব্যক্তিকতা
objectively	objectively
objective	উদ্দেশ্য
objectionable	আপত্তিকর
objection	আপত্তি
object	লক্ষ্য
obituary	মৃতু্যসম্বন্ধীয়
obey	শুনা
obesity	স্থূলতা
obese	স্থূলকায়
obediently	বাধ্যতা সহকারে
obedient	আজ্ঞাবহ
obedience	আনুগত্য
oats	উত্সাহে টগবগ
oatmeal	ওটমিল
oath	শপথ
oat	জই
oasis	মরুদ্যান
oases	মরুদ্যানগুলোর
oar	বৈঠা
oak	ত্তক্
oaf	নির্বোধ
Ivy League	আইভি লীগ
ivy	চিরহরিৎ লতাবিশেষ
ivory	গজদন্ত
I've	আমি করেছি
IV	চতুর্থ
itself	নিজেই
it's	এটা
its	এর
it'll	এটা করব
itinerary	ভ্রমণপথ
itinerant	ভ্রমণকারী
itemize	দফা অনুযায়ী সাজানো
item	আইটেম
it'd	এটা চাই
itchy	itchy
itchiness	চুলকানি
itch	পাঁচড়া
italics	তির্যক
italicize	বাঁকা ছাদের অক্ষরে ছাপানো
italic	বাঁকা ছাঁদে গঠিত
Italian	ইটালিয়ান
it	এটা
isthmus	Isthmus
issue	সমস্যা
isolation	বিচ্ছিন্নতা
isolated	ভিন্ন
isolate	বিচ্ছিন্ন রাখা
isn't	নয়
isle	দ্বীপ
islander	দ্বীপবাসী
island	দ্বীপ
Islamic	ইসলামী
Islam	ইসলাম
is	হয়
IRS	নির্দেশানুযায়ী IRS
irritation	উপদ্রব
irritating	জ্বালাময়
irritate	জ্বালাতন করা
irritant	উত্তেজক
irritably	এমনটা কখনো
irritable	খিট্খিটে
irritability	বিরক্ত
irrigation	জলসেচন
irrigate	জলসেচন করা
irreversible	অপরিবর্তনীয়
irreverently	অবজ্ঞাভাবে
irreverent	অভক্ত
irreverence	অভক্তি
irresponsibly	irresponsibly
irresponsible	দায়িত্বহীন
irresponsibility	দায়িত্বজ্ঞানহীনতা
irrespective	নিরপেক্ষ
irresistibly	irresistibly
irresistible	অনিবার্য
irreproachable	নির্দোষ
irrepressible	অদম্য
irreplaceable	অপূরণীয়
irreparably	অপূরণীয়ভাবে
irreparable	অপুরণীয়
irrelevant	অপ্রাসঙ্গিক
irrelevance	অসঙ্গতি
irregularly	অগোছালভাবে
irregularity	অনিয়ম
irregular	অনিয়মিত
irrefutable	অকাট্য
irreconcilable	শত্রুভাবাপন্ন
irrationally	irrationally
irrationality	irrationality
irrational	অযৌক্তিক
irony	বিদ্রূপ
ironing board	ironing বোর্ড
ironing	ironing
ironically	হাস্যকর ভাবে
ironic	বিদ্রূপাত্মক
Iron Curtain	আয়রন কার্টেন
iron	লোহা
irk	ক্লান্ত করে তোলা
Irish	আইরিশ
iris	রামধনু
iridescent	চিত্রাভ
irate	রাগাম্বিত
irascible	একরোখা
IRA	IRA
IQ	আই কিউ
IOU	হ্যানডনোট
iota	ফোঁটা
iodine	আইত্তডীন
inwards	চিন্তায়
inwardly	অন্তরে
inward	অভ্যন্তরস্থ
involvement	সম্পৃক্ততা
involved	জড়িত
involve	জড়িত করা
involuntary	অনৈচ্ছিক
involuntarily	অনিচ্ছাজনিত
invoke	ডাকা
invoice	চালান
inviting	আমন্ত্রণ জানিয়ে
invite	আমন্ত্রণ করা
invitation	আমন্ত্রণ
invisibly	অলক্ষ্যে
invisible	অদৃশ্য
invisibility	অদর্শন
invincible	অপরাজেয়
invigorating	বলদায়ক
invigorate	বলাধান করা
inveterate	পাকা
investor	বিনিয়োগকারীদের
investment	বিনিয়োগ
investigator	অন্বেষী
investigative	ইনভেস্টিগেটিভ
investigation	তদন্ত
investigate	তদন্ত করা
invest	বিনিয়োগ করা
invert	ত্তলটান
inversion	বিপর্যয়
inverse	বিপরীত
inventory	জায়
inventor	উদ্ভাবক
inventive	উদ্ভাবক
invention	আবিষ্কার
invent	উদ্ভাবন করা
invasive	আক্রমণকারী
invasion	আক্রমণ
invariably	invariably
invariable	অপরিবর্তনীয়
invaluable	অমুল্য
invalidate	বাতিল করা
invalid	অকার্যকর
invader	আক্রমণকারী
invade	আক্রমণ করা
inundation	প্লাবন
inundate	প্রবাহিত করা
Inuit	ইনুইট
intuitively	intuitively
intuitive	স্বজ্ঞাত
intuition	অনুভূতি
intrusive	অনধিকারপ্রবেশমূলক
intrusion	অনধিকারপ্রবেশ
intruder	অনধিকারপ্রবেশকারী
intrude	অনধিকারপ্রবেশ করা
introverted	অন্তরমূখী
introvert	অন্তর্মূখী
introspective	অন্তর্মুখ
introductory	পরিচায়ক
introduction	ভূমিকা
introduce	প্রবর্তন করা
intrinsically	অন্তর্নিহিত
intrinsic	স্বকীয়
intriguing	কুচুটে
intrigue	চক্রান্ত
intricately	মনোযোগ শ্রেষ্ঠ
intricate	কূট
intricacy	ঘুরপ্যাঁচ
intricacies	intricacies
intrepid	নিরাতঙ্ক
intravenous	শিরায় প্রদানের জন্য
intransitively	intransitively
intransitive	অকর্মক
intramural	এরোবিক্স
intractable	অবাধ্য
intoxication	নেশা
intoxicated	মত্ত
intonation	স্বরভঙ্গি
intolerant	অসহ
intolerance	অক্ষমা
intolerably	intolerably
intolerable	অসহনীয়
into	মধ্যে
intimidation	হুমকি
intimidating	ভয় দেখিয়ে
intimidated	ভীত
intimidate	ভয় দেখান
intimately	গলাগলি
intimate	অন্তরঙ্গ
intimacy	অন্তরঙ্গতা
intestine	অন্ত্র
intestinal	অভ্যন্তরীণ
intestate	অকৃত
interwoven	খচিত
interwove	interwove
interweave	বিজড়িত করা
interviewer	সাক্ষাত্কার
interview	সাক্ষাত্কার
intervention	হস্তক্ষেপ
intervening	মধ্যস্থ
intervene	হস্তক্ষেপ করা
interval	অন্তর
interstate	আন্তঃরাজ্য
intersperse	ছড়ান
intersection	ছেদ
intersect	বিভক্ত করা
interruption	বাধা
interrupt	ছিন্ন করা
interrogator	ইন্টেরোগেটর
interrogation	জিজ্ঞাসাবাদ
interrogate	পুছা
interrelated	পারস্পরিক
interracial	নানা জাতির মধ্যে
interpreter	দোভাষী
interpretation	ব্যাখ্যা
interpret	ব্যাখ্যা করা
interpose	মধ্যস্থতা করা
interplay	পারস্পরিক
interpersonal	আন্তঃব্যক্তিগত
interplanetary	আন্তগ্র্রহ
internship	ইন্টার্নশীপ
internment	অন্তরণ
internist	internist
Internet	ইন্টারনেট
internationally	আন্তর্জাতিকভাবে
international	আন্তর্জাতিক
internally	অন্ত
internal	অভ্যন্তরীণ
intern	অন্তরীণ করা
intermittently	intermittently
intermittent	সবিরাম
intermission	বিচ্ছেদ
interminable	interminable
intermediate	অন্তর্বর্তী
intermediary	মধ্যবর্তী
intermarry	পরিণয়সূত্রের আবদ্ধ
intermarriage	অসবর্ণ বিয়ে
interlude	গর্ভনাটিকা
interloper	অনধিকার
interlocking	interlocking
interlock	পরস্পর আলিঙ্গনাবদ্ধ করা
interjection	মধ্যে নিক্ষেপ
interject	মধ্যে নিক্ষেপ করা
interior design	অভ্যন্তর নকশা
Interior Department	স্বরাষ্ট্র দপ্তর
interior	অভ্যন্তর
interim	অন্তর্বর্তী
interference	হস্তক্ষেপ
interfere	হস্তক্ষেপ করা
interface	ইন্টারফেস
interestingly	উত্সাহের
interesting	আকর্ষণীয়
interested	আগ্রহী
interest	সুদ
interdependent	পরস্পরের উপর নির্ভরশীল
interdependence	পারস্পরিক অধীনতা
intercourse	সংসর্গ
intercontinental	আন্তর্মহাদেশীয়
interconnected	পরস্পরের
interconnect	আন্তঃসংযোগ
intercom	চলিত
interchangeably	অদলবদল করে
interchangeable	বিনিমেয়
interchange	বিনিময়
interception	আটক
intercept	রূখা
intercede	মধ্যস্থতা করা
interactive	ইন্টারেক্টিভ
interaction	মিথষ্ক্রিয়া
interact	গর্ভনাটিকা
inter	আন্তঃ
intently	অভিনিবেশসহকারে
intentionally	ইচ্ছাকৃতভাবে
intentional	অভিপ্রেত
intention	অভিপ্রায়
intent	অভিপ্রায়
intensively	রোপন
intensive care	ইনটেনসিভ কেয়ার
intensive	প্রচণ্ড
intensity	আতিশয্য
intensify	প্রবল বা তীব্র
intensifier	intensifier
intensely	intensely
intense	তীব্র
intended	অভিপ্রেত
intend	মনস্থ করা
intelligible	বুদ্ধিগম্য
intelligently	intelligently
intelligent	বুদ্ধিমান
intelligence	বুদ্ধিমত্তা
intellectually	বুদ্ধিমত্তা
intellectual	বুদ্ধিজীবী
intellect	বুদ্ধি
integrity	সততা
integration	ইন্টিগ্রেশন
integrate	গোটা
integral	অখণ্ড
integer	পূর্ণসংখ্যা
intangible	অধরা
intake	ঘেরা জমি
intact	অক্ষত
insurrection	বিদ্রোহ
insurmountable	অনতিক্রম্য
insurgent	বিদ্রোহী
insurgency	বিদ্রোহ
insured	বীমা করা
insure	নিশ্চিত করা
insurance	বীমা
insulting	অপমানকর
insult	অপমান
insulin	ইন্সুলিন
insulation	অন্তরণ
insulate	আলাদা করিয়া রাখা
insularity	সংকীর্ণচিত্ততা
insular	জলবেষ্টিত
insufficient	অপর্যাপ্ত
insufficiency	অপ্রতুলতা
insufferable	অসহ্য
insubstantial	অবাস্তব
insubordination	অবাধ্যতা
insubordinate	অবাধ্য
instrumental	যান্ত্রিক
instrument	যন্ত্র
instructor	উপাধ্যায়
instructively	instructively
instructive	শিক্ষামূলক
instructions	নির্দেশাবলী
instruction	নির্দেশ
instruct	শিখান
institutional	প্রাতিষ্ঠানিক
institution	প্রতিষ্ঠান
institute	প্রতিষ্ঠান
instinctively	instinctively
instinctive	স্বভাবজ
instinct	সত্ত্ব
instill	ধীরে ধীরে প্রবেশ করান
instigation	উসকানি
instigate	প্ররোচিত করা
instep	পদপৃষ্ঠ
instead	পরিবর্তে
instant replay	তাত্ক্ষণিক রিপ্লে
instantly	অবিলম্বে
instantaneously	তাত্ক্ষণিকভাবে
instantaneous	ক্ষণিক
instant	ইনস্ট্যান্ট
instance	উদাহরণ
installment	কিস্তি
installation	ইনস্টলেশন
install	ইনস্টল
instability	অস্থায়িত্ব
inspiring	দীপক
inspired	অনুপ্রাণিত
inspire	অনুপ্রাণিত করা
inspirational	অনুপ্রেরণীয়
inspiration	অনুপ্রেরণা
inspector	পরিদর্শক
inspection	পরিদর্শন
inspect	পরিদর্শন করা
insomniac	অনিদ্রারোগী
insomnia	অনিদ্রা
insolvent	দেউলিয়া
insolvency	শোধাক্ষমতা
insoluble	ব্যাখ্যাতীত
insolent	দুর্বিনীত
insolence	ঔদ্ধত্য
insofar as	যতটুকু
insistently	insistently
insistent	সনির্বন্ধ
insistence	গোঁ
insist	জোরাজুরি করা
insipid	বিরস
insinuation	ঠেস
insinuate	কটাক্ষ করা
insincerity	কপটতা
insincerely	কপটভাবে
insincere	কপট
insignificantly	insignificantly
insignificant	তুচ্ছ
insignificance	তুচ্ছতা
insignia	পরিচয়চিহ্ন
insight	সূক্ষ্মদৃষ্টি
insidious	প্রতারণাপূর্ণ
insides	ভিতরের
insider	ভেতরের
inside	ভিতরে
insertion	সন্নিবেশ
insert	ঢোকান
inseparable	অচ্ছেদ্য
insensitivity	insensitivity
insensitively	insensitively
insensitive	অবশ
insemination	প্রজনন
insecurity	অনিরাপত্তা
insecure	নিরাপত্তাহীন
insecticide	কীটহত্যা
insect	পোকা
inscrutable	অবর্ণনীয়
inscription	খোদাই
inscribe	গ্রন্থভুক্ত করা
insatiable	অতৃপ্ত
insanity	বাতুলতা
insanely	অন্যন্ত
insane	উন্মাদ
INS	আইএনএস
inroads	inroads
inquisitive	সন্ধানী
inquisition	জেরা
inquiry	তদন্ত
inquiring	জিজ্ঞাসু
inquire	জিজ্ঞাসা করা
inquest	আইনগত অনুসন্ধান
input	ইনপুট
inpatient	inpatient
inorganic	অজৈব
inordinately	inordinately
inordinate	অপরিমিত
inopportune	অপ্রাপ্তকাল
inoffensive	অহিংসক
inoculation	টিকা
inoculate	টিকা দেত্তয়া
innumerable	বেশুমার
innuendo	বক্রোক্তি
innovator	সংস্কারক
innovative	উদ্ভাবনী
innovation	নতুনত্ব
innovate	পরিবর্তন করা
innocuous	নির্দোষ
innocently	innocently
innocent	নির্দোষ
innocence	নিরীহতা
innkeeper	সরাইত্তয়ালা
inning	inning
innermost	অন্তরতম
inner city	ভেতরের শহর
inner	ভিতরের
innate	সহজাত
innards	নাড়িভুঁড়ি
inn	চটি
inmate	নিবাসী
in-line skate	ইন লাইন স্কেইট্
inlet	খাঁড়ি
in-laws	মধ্যে আইন
inland	অন্তর্দেশীয়
inlaid	খচিত
inkling	আভাস
ink	কালি
injustice	অবিচার
injury	আঘাত
injurious	ক্ষতিকর
injured	আহত
injure	আঘাত করা
injunction	আজ্ঞা
injection	ইনজেকশন
inject	উদ্বুদ্ধ করা
initiative	উদ্যোগ
initiation	দীক্ষা
initiate	আরম্ভ করা
initials	নামের আদ্যক্ষরসমূহ
initially	প্রথমে
initial	প্রাথমিক
inhumanity	নিষ্ঠুরতা
inhumane	নিষ্ঠুর
inhuman	মনুষ্যত্বহীন
in-house	আভ্যন্তরীণ
inhospitable	আতিথেয়তাশূন্য
inhibition	নিষেধ
inhibited	বাধার
inhibit	দমন করা
inheritance	উত্তরাধিকার
inherit	বংশানুসরণ করা
inherent	সহজাত
inhaler	শ্বাসগ্রহণকারী
inhale	শ্বসন করা
inhalation	শ্বসন
inhabitant	বাসিন্দা
inhabit	বসবাস করা
ingredient	উপাদান
ingratitude	অকৃতজ্ঞতা
ingratiating	তোষামুদে
ingratiate	অনুগ্রহ ভাজন করান
ingrained	বদ্ধমূল
ingest	পাকস্থলীতে গ্রহণ করা
ingenuity	অকপটতা
ingeniously	সুকৌশলে
ingenious	প্রতিভাশালী
infusion	আধান
infuse	প্রবিষ্ট করান
infuriatingly	মাথা-গরম-করে-দেওয়া উদাসীনতা
infuriating	infuriating
infuriate	ক্ষিপ্ত
infringement	লঙ্ঘন
infringe	লঙ্ঘন করা
infrequently	মাঝেসাঝে
infrequent	বিরল
infrastructure	অবকাঠামো
infrared	অবলোহিত
infraction	ব্যত্যয়
informer	সংবাদদাতা
informed	অবগত
informative	তথ্যপূর্ণ
information technology	তথ্য প্রযুক্তি
information superhighway	তথ্য সুপারহাইওয়েতে
information	তথ্য
informant	সংবাদদাতা
informally	অনানুষ্ঠানিকভাবে
informality	লৌকিকতাহীনতা
informal	লৌকিকতাবর্জিত
inform	শুনান
infomercial	infomercial
info	তথ্য
influx	অন্ত: প্রবাহ
influenza	ইন্ফলুএন্জারোগ
influential	প্রভাবশালী
influence	প্রভাব
in-flight	ইন ফ্লাইট
infliction	প্রয়োগ
inflict	হানা
inflexibly	inflexibly
inflexible	অনমনীয়
inflexibility	অনমনীয়তা
inflection	আনতি
inflationary	মুদ্রাস্ফীতিজনিত
inflation	মুদ্রাস্ফীতি
inflated	স্ফীত
inflate	ফোলান
inflatable	inflatable
inflammatory	প্রদাহী
inflammation	প্রদাহ
inflammable	দাহ্য
inflamed	পুড়া
inflame	উত্তপ্ত করা
infirmity	জরা
infirmary	হাসপাতাল
infirm	দুর্বল
infinity	অনন্ত
infinitive	infinitive
infinitesimal	ক্ষুদ্রাতিক্ষুদ্র
infinitely	অসীম
infinite	অসীম
infiltrator	অনুপ্রবেশকারীকে
infiltration	অনুপ্রবেশ
infiltrate	চোয়ান
infielder	infielder
infield	আবাদী জমি
infidelity	নাস্তিক্য
infidel	নাস্তিক
infested	ভরা
infestation	সংক্রমণের
infest	বিরক্ত করা
infertility	ঊষরতা
infertile	অনুর্বর
inferno	নরক
inferiority complex	হীনমন্যতা
inferiority	ন্যূনতা
inferior	নিকৃষ্ট
inference	অনুমান
infer	সিদ্ধান্ত করা
infectious	সংক্রামক
infection	সংক্রমণ
infect	সংক্রামিত করা
infatuation	মায়া
infatuated	প্রমত্ত
infantry	পদাতিকবর্গ
infantile	শিশুসুলভ
infant	শিশু
infancy	শৈশব
infamy	কলঙ্ক
infamous	কুখ্যাত
infallible	অব্যর্থ
infallibility	আপ্ততা
inexplicably	inexplicably
inexplicable	অবক্তব্য
inexperienced	অনভিজ্ঞ
inexperience	অনভিজ্ঞতা
inexpensively	সুলভে
inexpensive	সস্তা
inexhaustible	অব্যয়
inexcusable	অমার্জনীয়
inexact	অযথাযথ
inevitably	অবশ্যম্ভাবীরূপে
inevitable	অনিবার্য
inevitability	অবশ্যম্ভাবিতা
inessential	অদরকারী
inescapable	অবশ্যম্ভাবী
inertia	নিষ্ক্রিয়তা
inert	জড়
inequity	অন্যায়
inequality	অসাম্য
ineptitude	নির্বুদ্ধিতা
inept	অদক্ষ
ineligible	অযোগ্য
ineligibility	অযোগ্যতা
inelegant	অসুন্দর
inefficiently	inefficiently
inefficient	অদক্ষ
inefficiency	অদক্ষতা
ineffectiveness	ব্যর্থতা
ineffective	অকার্যকর
inebriation	মাতলামি
inebriated	inebriated
industry	শিল্প
industrious	পরিশ্রমী
industrial park	শিল্প পার্ক
industrialize	শিল্পসমৃদ্ধ করা
industrialization	শিল্পায়ন
industrialist	শিল্পপতি
industrial arts	শিল্প কলা
industrial	শিল্প
indulgent	অসংযত
indulgence	প্রশ্রয়
indulge	চরিতার্থ করা
induction	আবেশন
induct	অভিষিক্ত করান
inducement	প্রবর্তনা
induce	প্রণোদিত করা
indoors	গৃহমধ্যে
indoor	গৃহমধ্যস্থ
indomitable	অদম্য
indolent	কুড়ে
indolence	শ্রমবিমুখতা
indoctrination	মতদীক্ষাদান
indoctrinate	শিক্ষা দেত্তয়া
indivisible	অবিভাজ্য
individually	পৃথকভাবে
individuality	ব্যক্তিস্বাতন্ত্র্য
individualistic	ব্যক্তিতাবাদী
individualist	ব্যক্তিতাবাদের
individualism	ব্যক্তিস্বাতন্ত্র্য
individual	ব্যক্তি
indistinguishable	অবিভেদ্য
indistinctly	অস্ফুটে
indistinct	অস্পষ্ট
indisputable	তর্কাতীত
indispensable	অপরিহার্য
indiscriminately	অবিশেষে
indiscriminate	বাছবিচারহীন
indiscretion	হঠকারিতা
indiscreet	হঠকারী
indirect object	পরোক্ষ বস্তু
indirectness	indirectness
indirectly	পরোক্ষভাবে
indirect	পরোক্ষ
indignity	অসম্মান
indignation	ঘৃণামিশ্রিত ক্রোধ
indignantly	indignantly
indignant	অত্যুগ্র
indigestion	বদহজম
